Opportunity_ID,Region,Billing_Country,Account_Type,Opportunity_Type,Account_Owner,Account_Name,Conversión_USD,Delivery_Quarter,TRF,Stage,promedio_preciov_region,promedio_preciov_paises,promedio_preciov_Account,promedio_preciov_Oportunity,promedio_preciov_vendedor,Wilsonxproporcion_region,Wilsonxproporcion_paises,Wilsonxproporcion_vendedor
0,EMEA,Netherlands,Account_Type_2,Opportunity_Type_1,Person_Name_51,Account_Name_619,6305214,Q2,10,Closed Lost,246888.2391744233,0.0,0.0,0.0,0.0,0.5148167747547108,0.513767396005601,0.3258513787527734
1,EMEA,Netherlands,Account_Type_2,Opportunity_Type_1,Person_Name_51,Account_Name_619,57673,Q1,0,Closed Won,246888.2391744233,177583.14603174603,125034.170409234,133491.43240254355,85165.04651162791,0.5148167747547108,0.513767396005601,0.3258513787527734
2,Americas,United States,Account_Type_5,Opportunity_Type_1,Person_Name_64,Account_Name_1794,83865,Q1,0,Closed Won,422783.84718349134,432143.81367521366,958150.8873483535,133491.43240254355,75357.66842105263,0.4456865384565452,0.44836576877282996,0.6162993823467292
3,Americas,United States,Account_Type_5,Opportunity_Type_19,Person_Name_8,Account_Name_1201,7421881,Q1,14,Closed Lost,422783.84718349134,0.0,0.0,0.0,0.0,0.4456865384565452,0.44836576877282996,0.5615001610337099
4,Americas,United States,Account_Type_5,Opportunity_Type_19,Person_Name_8,Account_Name_1201,13357192,Q1,25,Closed Lost,422783.84718349134,0.0,0.0,0.0,0.0,0.4456865384565452,0.44836576877282996,0.5615001610337099
5,Americas,United States,Account_Type_5,Opportunity_Type_19,Person_Name_8,Account_Name_1201,14838277,Q1,28,Closed Lost,422783.84718349134,0.0,0.0,0.0,0.0,0.4456865384565452,0.44836576877282996,0.5615001610337099
6,Americas,United States,Account_Type_5,Opportunity_Type_19,Person_Name_8,Account_Name_1201,2659494,Q1,7,Closed Lost,422783.84718349134,0.0,0.0,0.0,0.0,0.4456865384565452,0.44836576877282996,0.5615001610337099
7,Americas,United States,Account_Type_5,Opportunity_Type_1,Person_Name_64,Account_Name_1794,50688,Q1,0,Closed Won,422783.84718349134,432143.81367521366,958150.8873483535,133491.43240254355,75357.66842105263,0.4456865384565452,0.44836576877282996,0.6162993823467292
8,Japan,Japan,Account_Type_2,Opportunity_Type_7,Person_Name_50,Account_Name_1888,143,Q1,0,Closed Lost,35814.954559133315,0.0,0.0,0.0,0.0,0.6622229260828987,0.6664221546105753,0.631065419981304
8,Japan,Japan,Account_Type_2,Opportunity_Type_7,Person_Name_50,Account_Name_1888,40,Q1,0,Closed Lost,35814.954559133315,0.0,0.0,0.0,0.0,0.6622229260828987,0.6664221546105753,0.631065419981304
8,Japan,Japan,Account_Type_2,Opportunity_Type_7,Person_Name_50,Account_Name_1888,56,Q1,0,Closed Lost,35814.954559133315,0.0,0.0,0.0,0.0,0.6622229260828987,0.6664221546105753,0.631065419981304
8,Japan,Japan,Account_Type_2,Opportunity_Type_7,Person_Name_50,Account_Name_1888,1284,Q1,0,Closed Lost,35814.954559133315,0.0,0.0,0.0,0.0,0.6622229260828987,0.6664221546105753,0.631065419981304
8,Japan,Japan,Account_Type_2,Opportunity_Type_7,Person_Name_50,Account_Name_1888,2790,Q1,0,Closed Lost,35814.954559133315,0.0,0.0,0.0,0.0,0.6622229260828987,0.6664221546105753,0.631065419981304
9,Japan,Japan,Account_Type_2,Opportunity_Type_7,Person_Name_50,Account_Name_1888,214,Q1,0,Closed Lost,35814.954559133315,0.0,0.0,0.0,0.0,0.6622229260828987,0.6664221546105753,0.631065419981304
9,Japan,Japan,Account_Type_2,Opportunity_Type_7,Person_Name_50,Account_Name_1888,40,Q1,0,Closed Lost,35814.954559133315,0.0,0.0,0.0,0.0,0.6622229260828987,0.6664221546105753,0.631065419981304
9,Japan,Japan,Account_Type_2,Opportunity_Type_7,Person_Name_50,Account_Name_1888,56,Q1,0,Closed Lost,35814.954559133315,0.0,0.0,0.0,0.0,0.6622229260828987,0.6664221546105753,0.631065419981304
9,Japan,Japan,Account_Type_2,Opportunity_Type_7,Person_Name_50,Account_Name_1888,1284,Q1,0,Closed Lost,35814.954559133315,0.0,0.0,0.0,0.0,0.6622229260828987,0.6664221546105753,0.631065419981304
9,Japan,Japan,Account_Type_2,Opportunity_Type_7,Person_Name_50,Account_Name_1888,3535,Q1,0,Closed Lost,35814.954559133315,0.0,0.0,0.0,0.0,0.6622229260828987,0.6664221546105753,0.631065419981304
10,Japan,Japan,Account_Type_2,Opportunity_Type_7,Person_Name_50,Account_Name_1888,214,Q1,0,Closed Lost,35814.954559133315,0.0,0.0,0.0,0.0,0.6622229260828987,0.6664221546105753,0.631065419981304
10,Japan,Japan,Account_Type_2,Opportunity_Type_7,Person_Name_50,Account_Name_1888,40,Q1,0,Closed Lost,35814.954559133315,0.0,0.0,0.0,0.0,0.6622229260828987,0.6664221546105753,0.631065419981304
10,Japan,Japan,Account_Type_2,Opportunity_Type_7,Person_Name_50,Account_Name_1888,56,Q1,0,Closed Lost,35814.954559133315,0.0,0.0,0.0,0.0,0.6622229260828987,0.6664221546105753,0.631065419981304
10,Japan,Japan,Account_Type_2,Opportunity_Type_7,Person_Name_50,Account_Name_1888,1284,Q1,0,Closed Lost,35814.954559133315,0.0,0.0,0.0,0.0,0.6622229260828987,0.6664221546105753,0.631065419981304
10,Japan,Japan,Account_Type_2,Opportunity_Type_7,Person_Name_50,Account_Name_1888,3721,Q1,0,Closed Lost,35814.954559133315,0.0,0.0,0.0,0.0,0.6622229260828987,0.6664221546105753,0.631065419981304
11,APAC,India,Account_Type_2,Opportunity_Type_19,Person_Name_60,Account_Name_1147,1621851,Q1,3,Closed Won,108927.85706751054,270836.79225352115,125034.170409234,1629802.7944862156,292585.36363636365,0.5603515509268735,0.3916913580775902,0.2576409248300403
12,APAC,None,Account_Type_2,Opportunity_Type_1,Person_Name_49,Account_Name_423,221650,Q1,0,Closed Lost,108927.85706751054,0.0,0.0,0.0,0.0,0.5603515509268735,0.0,0.45301605011567947
13,Japan,Japan,Account_Type_2,Opportunity_Type_7,Person_Name_50,Account_Name_1888,40,Q1,0,Closed Lost,35814.954559133315,0.0,0.0,0.0,0.0,0.6622229260828987,0.6664221546105753,0.631065419981304
13,Japan,Japan,Account_Type_2,Opportunity_Type_7,Person_Name_50,Account_Name_1888,14,Q1,0,Closed Lost,35814.954559133315,0.0,0.0,0.0,0.0,0.6622229260828987,0.6664221546105753,0.631065419981304
13,Japan,Japan,Account_Type_2,Opportunity_Type_7,Person_Name_50,Account_Name_1888,286,Q1,0,Closed Lost,35814.954559133315,0.0,0.0,0.0,0.0,0.6622229260828987,0.6664221546105753,0.631065419981304
13,Japan,Japan,Account_Type_2,Opportunity_Type_7,Person_Name_50,Account_Name_1888,56,Q1,0,Closed Lost,35814.954559133315,0.0,0.0,0.0,0.0,0.6622229260828987,0.6664221546105753,0.631065419981304
13,Japan,Japan,Account_Type_2,Opportunity_Type_7,Person_Name_50,Account_Name_1888,2568,Q1,0,Closed Lost,35814.954559133315,0.0,0.0,0.0,0.0,0.6622229260828987,0.6664221546105753,0.631065419981304
13,Japan,Japan,Account_Type_2,Opportunity_Type_7,Person_Name_50,Account_Name_1888,6325,Q1,0,Closed Lost,35814.954559133315,0.0,0.0,0.0,0.0,0.6622229260828987,0.6664221546105753,0.631065419981304
14,Japan,Japan,Account_Type_2,Opportunity_Type_7,Person_Name_50,Account_Name_1888,14,Q1,0,Closed Lost,35814.954559133315,0.0,0.0,0.0,0.0,0.6622229260828987,0.6664221546105753,0.631065419981304
14,Japan,Japan,Account_Type_2,Opportunity_Type_7,Person_Name_50,Account_Name_1888,286,Q1,0,Closed Lost,35814.954559133315,0.0,0.0,0.0,0.0,0.6622229260828987,0.6664221546105753,0.631065419981304
14,Japan,Japan,Account_Type_2,Opportunity_Type_7,Person_Name_50,Account_Name_1888,40,Q1,0,Closed Lost,35814.954559133315,0.0,0.0,0.0,0.0,0.6622229260828987,0.6664221546105753,0.631065419981304
14,Japan,Japan,Account_Type_2,Opportunity_Type_7,Person_Name_50,Account_Name_1888,56,Q1,0,Closed Lost,35814.954559133315,0.0,0.0,0.0,0.0,0.6622229260828987,0.6664221546105753,0.631065419981304
